LANDSLIDE_,LOCATION,COUNTY,QUADRANGLE,CITY,SP-EASTING,SP-NORTHING,Longitude,Latitude,PROCESS,GEOLOGY,SOILCODE,SERIES,CAUSE,STATUS,LENGTH,WIDTH,SCARP,VOLUME,SLOPE,DATES,MITIGATION,COST,COMMENTS,NAME,
GC1,East of Rippling River Golf Course on Salmon River Roa,Clackamas,Government,Welches,7829678,613492,-121.94844,45.34028,Earthflow,Conglomerate / B,5E,Aschoff Cobbly Loam,Human/Water Co,fixed,500,240,,,30,2/96,fill / 250' of new road and guardrail,"500,000",house destroyed / undersized culvert cited as cause,,
CV1,Sleepy Hollow Drive 0.2 miles from Highway 26 above th,Clackamas,Cherryville,Alder Cre,7800158,628497,-122.06436,45.37992,Earthflow,Welded Tuff Brec,9D,Bull Run Silt Loam,Human/Water Co,fixed,30,50,,944,35,2/96,fill / 70' of new road / top net / new powerline poles,,undersized culvert cited as cause,,
CV2,Southside of Highway 26 about 0.35 miles west of Sleep,Clackamas,Cherryville,Alder Cre,7798237,627111,-122.07173,45.37602,Debris Flow,,6F,Aschoff-Brightwood Complex,Natural,unfixed,50,25,4,185,30,2/96,,,debris flows frequent with 10 cubic feet boulders,,
CV4,Ten Eyck Road outside of Sandy,Clackamas,Cherryville,Sandy,7752969,635652,-122.24857,45.39689,Translational,Troutdale,5E,Aschoff Cobbly Loam,Human/Cutslope,fixed,20,160,2,237,55,2/96,scooper,,oversteepened cutslope,,
CV3,Coleman Road,Clackamas,Cherryville,Clackamas,7761799,632629,-122.21396,45.38912,Earthflow,Troutdale,5E,Aschoff Cobbly Loam,Human/Fill,fixed,200,50,,3704,40,2/96,fill / new road and guardrail,,fill failure,,
CV5,just down from 11851 Bull Run Road,Clackamas,Cherryville,Bull Run,7758453,649911,-122.22842,45.43631,Earthflow,,51E,Kliickitat Stoney Loam,Human/Fill,fixed,50,50,5,463,30,2/96,50' of new road,,fill failure,,
CV6,11851 Bull Run Road,Clackamas,Cherryville,Bull Run,7758949,650473,-122.22653,45.43788,Earthflow,,51E,Kliickitat Stoney Loam,Human/Fill,fixed,50,100,7,1296,30,2/96,new road and culvert,,fill failure,,
S1,"28600 Knox Road, 1/2 mile form Tickle Creek Rd.",Clackamas,Sandy,Clackamas,7721487,637304,-122.37125,45.39949,Earthflow,Troutdale,77B,Salem Gravel Silt Loam,Human/Water Co,fixed,30,140,,1556,10,2/96,160' of new road,,"fill failure / water ponded uphill above road, saturating road fill and c",,
S2,"Judd (Van Curren) Road, .5 miles from 212",Clackamas,Sandy,Clackamas,7720505,633132,-122.37470,45.38798,Earthflow,Troutdale,31F,Dystrochrepts,Human/Fill,fixed,120,150,4,2667,30,2/96,"150' of new road, new culvert",,fill failure,,
E1,"Kitzmiller Road, just north of Eagle Fern Park",Clackamas,Estacada,Clackamas,7743119,611024,-122.28479,45.32877,Earthflow,Sardine,17,Clackamas Silt Loam,Human/Cutslope,fixed,200,85,,9444,20,2/96,"big scooper, fill damaged road with gravel",,reactivation of older slide,,
E2,34160 Duuss Road,Clackamas,Estacada,Estacada,7736106,606083,-122.31163,45.31479,Earthflow,Troutdale,51E,Kliickitat Stoney Loam,Human/Water Co,fixed,20,20,5,74,30,2/96,rock fill and new culvert,,fill failure / undersized culvert cited as cause,,
E5,"Estacada Airport, Sunview Lane off of Duuss Road",Clackamas,Estacada,Estacada,7734352,605845,-122.31842,45.31403,Earthflow,Fill,51E,Kliickitat Stoney Loam,Human/Water Co,fixed,40,200,,5926,40,2/96,filled with miscellaneous material including scoopers from the area,,"fill failure / water ponded uphill above road, saturating road fill and c",,
E3,"Intersection of 211 and 224, downtown Estacada",Clackamas,Estacada,Estacada,7731015,595028,-122.33044,45.28416,Earthflow,Sardine,31F,Dystrochrepts,Natural,unfixed,150,55,,4583,30,2/96,,,maybe some fill involved in failure,,
E6,Highway 224 at milepost 22.5 near Estacada,Clackamas,Estacada,Estacada,7727949,599212,-122.34272,45.29544,Earthflow,Fill,31F,Dystrochrepts,Human/Fill,fixed,10,175,6,389,35,2/96,rock fill batress,"44,000",fill failure,,
E7,"Highway 211 at milepost 31.5, .2 miles south of Dubois",Clackamas,Estacada,Estacada,7726841,588972,-122.34611,45.26729,Earthflow,Fill,51E,Kliickitat Stoney Loam,Human/Water Co,fixed,60,240,,8000,35,2/96,rock fill,"361,000","fill failure, blocked culvert cited as cause, bulging in rock fill",,
E4,"Samules Road, edge of terrace",Clackamas,Estacada,Estacada,7719935,610650,-122.37488,45.32630,Slump,Troutdale,31F,Dystrochrepts,Natural,fixed,80,130,,3852,60,2/96,scooper,,"on edge of Clackamas River terrace, road below possibly cut off old toe a",,
R2,"Gravel road extension of Samules Road, edge of terrace",Clackamas,Redland,Clackamas,7719545,611671,-122.37649,45.32907,Earthflow,Troutdale,31F,Dystrochrepts,Human/Fill,fixed,50,60,4,444,60,2/96,fill about 60' of road in with gravel,,extremely steep cutslope above road probably helped initiate slide,,
EL1,Metzler Road just outside of Metzler Park,Clackamas,Elkwood,Clackamas,7724617,577155,-122.35370,45.23475,Earthflow,,92F,Xerochrepts and Haploxerolls,Human/Water Co,fixed,175,95,,9236,30,2/96,120' of new road and fill,,"fill failure, lack of culvert cited as cause",,
R3,Sam McGee Road,Clackamas,Redland,Clackamas,7689637,604163,-122.49203,45.30652,Earthflow,Troutdale,45C,Jury Silty Clay Loam,Human/Cutslope,fixed,30,75,4,333,55,2/96,scooper,,silts over clays,,
MO2,Dickey Prarie Road just north of Feyrer Park Road,Clackamas,Molalla,Molalla,7677499,543381,-122.53325,45.13903,Earthflow,Qt,92F,Xerochrepts and Haploxerolls,Human/Fill,fixed,80,50,8,1185,55,2/96,"gabien wall, fill, lane repair",,"fill failure, erosion within replaced fill",,
MO1,Graves Road just west of Burns Road,Clackamas,Molalla,Clackamas,7673348,574829,-122.55243,45.22497,Earthflow,Qt,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,130,20,5,481,50,2/96,scooper,,recent continuos activity,,
MO3,East of 15950 Buckner Creek Road,Clackamas,Molalla,Clackamas,7676528,578579,-122.54046,45.23548,Earthflow,Boring Lava,91B,Woodburn Silt Loam,Human/Fill,fixed,20,60,8,356,40,2/96,"100' of new road, rock fill",,fill failure,,
MO4,100 yards east of 15999 Buckner Creek Road,Clackamas,Molalla,Clackamas,7675778,578527,-122.54336,45.23528,Earthflow,Boring Lava,91B,Woodburn Silt Loam,Human/Fill,fixed,25,40,8,296,25,2/96,"some new road, rock fill",,"fill failure, some recent sluffing",,
CB2,"25500 Glass Road, the McLeod residence",Clackamas,Canby,Clackamas,7628756,599063,-122.72804,45.28818,Earthflow,Qal,92F,Xerochrepts and Haploxerolls,Natural,unfixed,60,20,,444,45,2/96,,,runoff from house could have saturated slope causing slide,,
CB3,"25500 Glass Road, the McLeod residence",Clackamas,Canby,Clackamas,7628735,598853,-122.72809,45.28760,Earthflow,Qal,92F,Xerochrepts and Haploxerolls,Natural,unfixed,35,20,3,78,40,2/96,,,sprinkler system in yard could have saturated slope causing slide,,
CB1,"24390 Glass Road, the Neville residence",Clackamas,Canby,Clackamas,7628252,598390,-122.72992,45.28630,Earthflow,Qal,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,80,15,5,222,35,2/96,filled in road with gravel,,geologist and engineer called out to fix road,,
CB5,Mountain Road right at Willamette River ferry crossing,Clackamas,Canby,Clackamas,7638303,603582,-122.69143,45.30129,Earthflow,Qal,92F,Xerochrepts and Haploxerolls,Human/Fill,fixed,105,75,,5833,35,2/96,"gabien wall, fill, new road and new drainage",,fill failure,,
CB7,Mountain Road right at Willamette River ferry crossing,Clackamas,Canby,Clackamas,7638487,603620,-122.69072,45.30140,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Fill,fixed,100,50,,1852,35,1/97,"gabien wall, fill, new road and new drainage",,fill failure,,
CB6,Mountain Road right at Willamette River ferry crossing,Clackamas,Canby,Clackamas,7638303,603715,-122.69144,45.30165,Earthflow,Qal,92F,Xerochrepts and Haploxerolls,Human/Fill,fixed,40,90,,1333,35,2/96,"fill, new road and new drainage",,fill failure,,
CB8,"Mountain Road, house on northside just before cutbacks",Clackamas,Canby,Clackamas,7639065,603679,-122.68848,45.30161,Earthflow,Troutdale,91B,Woodburn Silt Loam,Natural,unfixed,55,35,6,428,35,2/96,,,natural,,
CB10,99E milepost 17,Clackamas,Canby,Clackamas,7645834,604105,-122.66222,45.30328,Earthflow,CRBG,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,10,45,6,100,65,2/96,scooper,"15,000","possibly the Vantage Horizon, basalt over silt and clay over extremely we",,
CB4,Advance Road,Clackamas,Canby,Clackamas,7635247,609838,-122.70397,45.31821,Earthflow,Qff/Qfc,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,20,25,3,56,35,2/96,"scooper, new ditch",,oversteepened cutslope,,
CB9,Pacific Highway E milepost 15,Clackamas,Canby,Clackamas,7650013,615825,-122.64720,45.33572,Slump-Earthflow,Troutdale,78D,Saum Silt Loam,Natural,fixed,175,400,,,20,2/96,"remove material from highway, regrading slope, monitoring for moveme","1,000,00","reactivation of older slide, colluvial material, many slump blocks and sa",,
G1,13900 Riverbend Mobil Home Community,Clackamas,Gladstone,Clackamas,7683899,641499,-122.51795,45.40851,Rockfall,Troutdale,76B,Salem Silt Loam,Natural,unfixed,50,250,,,90,2/96,,"110,000","high river cutbank erosion initiated slide, lost 11 trailer parks, swimmi",,
G14,212 at Carver Junction,Clackamas,Gladstone,Clackamas,7687342,641812,-122.50458,45.40960,Slump-Earthflow,Qt,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,20,30,3,67,45,2/96,scooper,"7,000",oversteepened cutslope,,
G13,Clackamas River Drive at South Fork Clackamas River In,Clackamas,Gladstone,Oregon Ci,7668277,631136,-122.57773,45.37901,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,20,80,3,178,45,2/96,,,"oversteepened cutslope, reactivation of older larger slide",,
G12,13720 Clackamas River Drive,Clackamas,Gladstone,Clackamas,7671104,634582,-122.56707,45.38865,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,100,65,5,1204,40,2/96,"scooper, new driveway, move house",,"reactivation of older slide, actually 3 separate slides below 1 paleoscar",,
G11,Clackamas River Drive,Clackamas,Gladstone,Clackamas,7671278,635011,-122.56644,45.38984,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,15,10,3,17,50,2/96,scooper,,oversteepened cutslope,,
G10,Clackamas River Drive across from 14407,Clackamas,Gladstone,Clackamas,7671675,635853,-122.56498,45.39218,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,115,50,6,1278,50,2/96,scooper,,oversteepened cutslope,,
G3,"Clackamas River Drive, 500 yards east of school",Clackamas,Gladstone,Clackamas,7677281,636297,-122.54320,45.39379,Debris Slide,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,50,25,4,185,50,2/96,scooper,,oversteepened cutslope,,
G2,Clackamas River Drive 600 yards east of school,Clackamas,Gladstone,Clackamas,7677471,636202,-122.54245,45.39354,Debris Slide,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,100,50,3,556,50,2/96,scooper,,"oversteepened cutslope, composed of 4 different slides under one paleosca",,
G4,Clackamas River Drive 700 yards east of school,Clackamas,Gladstone,Clackamas,7677868,636012,-122.54089,45.39305,Debris Slide,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,90,70,5,1167,40,2/96,scooper,,"oversteepened cutslope, composed of 2 different slides under one paleosca",,
G18,Clackamas River Drive 800 yards east of school,Clackamas,Gladstone,Clackamas,7678107,635837,-122.53994,45.39258,Debris Slide,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,35,65,5,421,40,2/96,scooper,,oversteepened cutslope,,
G16,Clackamas River Drive 100 yards west of milepost 3.36,Clackamas,Gladstone,Clackamas,7678170,635964,-122.53971,45.39294,Debris Slide,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,fixed,15,65,6,217,60,2/96,"fill, small retention structure",,river undercutting slope in cutbank,,
G19,Clackamas River Drive east of milepost 3.36,Clackamas,Gladstone,Clackamas,7678901,635615,-122.53683,45.39203,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,40,160,2,474,60,2/96,scooper,,oversteepened cutslope,,
G5,Across from 16119 Clacamas River Drive,Clackamas,Gladstone,Clackamas,7679472,635535,-122.53460,45.39185,Slump-Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,fixed,100,100,,7407,60,2/96,"scooper, clean ditch out",,"part of large complex, spawned a debris flow that inundated the road",,
G6,Clackamas River Drive .5 miles east of 16119,Clackamas,Gladstone,Clackamas,7681711,636027,-122.52594,45.39335,Slump,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,10,20,5,37,30,2/96,scooper,,"slump spawned debris flow, many other small sloughs along road in this ar",,
G7,Gronlund Road just west of Hofman Road,Clackamas,Gladstone,Clackamas,7685634,633900,-122.51046,45.38779,Debris Slide,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,20,30,6,133,60,2/96,scooper,,oversteepened cutslope,,
G9,Across from 17488 Gronlund Road,Clackamas,Gladstone,Clackamas,7686729,633566,-122.50617,45.38695,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,30,40,4,178,40,2/96,"battress rock fill, some minor road repair, scooper",,oversteepened cutslope,,
G8,17656 Gronlund Road,Clackamas,Gladstone,Clackamas,7687317,633439,-122.50387,45.38664,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,60,80,,1778,35,2/96,"battress rock fill, road and driveway repair, scooper",,oversteepened cutslope,,
G17,"Rosenbaum and Booth residences above Carver, house on",Clackamas,Gladstone,Clackamas,7687762,635106,-122.50230,45.39124,,Qt,8B,Bornstedt Silt Loam,,,,,,,,,,,,,
G15,I-205 northbound off ramp Johson Creek exit,Clackamas,Gladstone,Clackamas,7670430,658656,-122.57210,45.45461,Earthflow,Qff/Qfc,70B,Powell Silt Loam,Human/Cutslope,fixed,25,150,4,556,30,2/96,rockfill,"6,000",oversteepened cutslope,,
O1,"16488 Henrici Road, neighbors Joe and Katleen Holmgren",Clackamas,Oregon City,Clackamas,7682484,605607,-122.51997,45.31000,Earthflow,Boring Lava,78E,Saum Silt Loam,Human/Water Co,unfixed,100,75,6,1667,50,2/96,,,"two homes right on scarp, one has had geotech appraisal and remains inhab",,
O2,End of Seal Court,Clackamas,Oregon City,Clackamas,7683465,606227,-122.51622,45.31176,Earthflow,Boring Lava,78E,Saum Silt Loam,Human/Fill,fixed,40,40,4,237,45,2/96,fill,,runoff from pavement could have saturated slope causing failure,,
O3,"Upper Road, .3 miles down from Henrici Road",Clackamas,Oregon City,Clackamas,7683741,608792,-122.51539,45.31882,Earthflow,Troutdale,78E,Saum Silt Loam,Natural,unfixed,50,50,8,741,60,2/96,,,"mobil home inundated and abandoned, slide at Boring Lava contact",,
O50,"Upper Road, .2 miles down from Henrici Road",Clackamas,Oregon City,Clackamas,7684016,608672,-122.51431,45.31851,Earthflow,Troutdale,78E,Saum Silt Loam,Natural,unfixed,25,40,2,74,50,2/96,scooper,,"possible oversteepening of cutslope might have caused slide, slide at Bor",,
O13,Loder Road just west of Thimble Creek,Clackamas,Oregon City,Clackamas,7675532,610912,-122.54751,45.32406,Earthflow,Troutdale,54E,Laurelwood Silt Loam,Human/Fill,fixed,30,60,5,333,35,2/96,"rock fill, 100' of new pavement, new culvert",,"inadequate culvert caused saturation of slope initiating failure, slide a",,
O6,15770 Thayer Road,Clackamas,Oregon City,Clackamas,7676994,613536,-122.54208,45.33136,Earthflow,Troutdale,78E,Saum Silt Loam,Human/Fill,fixed,50,200,5,1852,40,2/96,rock fill and rebuilding road,,"reactivation of paleoslide, material moved to side drainage and used to f",,
O8,"Bob Rinkes residence, 15723 South Thayer Road, 656-732",Clackamas,Oregon City,Clackamas,7676843,613826,-122.54270,45.33214,Earthflow,Boring Lava,78E,Saum Silt Loam,Natural,unfixed,200,400,3,8889,30,2/96,,,large natural slide,,
O7,"Bob Rinkes residence, 15723 South Thayer Road, 656-732",Clackamas,Oregon City,Clackamas,7677188,614666,-122.54144,45.33447,Earthflow,Boring Lava,48C,Kinton Silt Loam,Natural,fixed,300,300,2,6667,30,2/96,"bulldozed toe away from barn, still had to sell cattle",,large natural slide,,
O10,"Bob Rinkes residence, 15723 South Thayer Road, 656-732",Clackamas,Oregon City,Clackamas,7677844,614908,-122.53891,45.33518,Earthflow,Boring Lava,70B,Powell Silt Loam,Natural,unfixed,20,600,6,2667,45,2/96,,,high creek levels helped initiate failure,,
O9,"Bob Rinkes residence, 15723 South Thayer Road, 656-732",Clackamas,Oregon City,Clackamas,7678097,615667,-122.53800,45.33728,Earthflow,Boring Lava,56,McBee Silty Clay Loam,Natural,unfixed,30,30,6,200,40,2/96,,,high creek levels helped initiate failure,,
O11,"Bob Rinkes residence, 15723 South Thayer Road, 656-732",Clackamas,Oregon City,Clackamas,7676406,616162,-122.54462,45.33852,Earthflow,Boring Lava,48C,Kinton Silt Loam,Human/Cutslope,unfixed,40,80,4,474,25,2/96,,,power company cut bank trying to put a line in causing failure in the 195,,
O5,"Maple Lane, .75 miles down form Fergusson Road, above",Clackamas,Oregon City,Clackamas,7677072,617768,-122.54219,45.34297,Earthflow,Troutdale,56,McBee Silty Clay Loam,Human/Cutslope,fixed,30,35,3,117,45,2/96,"scooper, regrade slope",,"reactivation of paleoslide, oversteepening of cutslope",,
O47,"Maple Lane, .75 miles down form Fergusson Road, below",Clackamas,Oregon City,Clackamas,7677029,617585,-122.54234,45.34246,Slump-Earthflow,Troutdale,57,McBee Silty Clay Loam,Natural,unfixed,250,100,,,15,2/96,N/A,,"reactivation of paleoslide, high creek levels possibly helped initiate fa",,
O12,16097 Maple Lane,Clackamas,Oregon City,Clackamas,7678763,618263,-122.53567,45.34444,Earthflow,Troutdale,23D,Cornelius Silt Loam,Human/Fill,fixed,30,45,5,250,30,2/96,"rockfill, scooper",,"reactivation of paleoslide, occurred between upper and lower portions of",,
O4,"18370 Mattew Court, .5 miles down",Clackamas,Oregon City,Clackamas,7684432,617564,-122.51356,45.34292,Earthflow,Troutdale,89D,Witzel Very Stoney Silt Loam,Natural,fixed,600,400,3,,10,2/96,"gravel fill for road, house must be moved, garage being warped next",,reactivation of paleoslide,,
O21,I-205 southbound at mile 8.6,Clackamas,Oregon City,West Linn,7658385,624337,-122.61552,45.35966,Rockfall,CRBG,89D,Witzel Very Stoney Silt Loam,Human/Cutslope,fixed,10,10,,44,90,2/96,scooper,"13,000",failure at Vantage Horizon (paleosol),,
O18,End of First Avenue Court,Clackamas,Oregon City,Oregon Ci,7659998,620932,-122.60890,45.35044,Earthflow,Troutdale,93E,Xerochrepts-Rock Outcrop Complex,Natural,unfixed,70,50,6,778,50,2/96,,,natural slide above trail,,
O46,Washington Street and Abernathy Creek Road /  Park Pla,Clackamas,Oregon City,Oregon Ci,7663139,625820,-122.59718,45.36407,Slump-Earthflow,Qal,67,Newberg Fine Sandy Loam,Natural,unfixed,30,45,6,300,45,2/96,,,"reactivation of paleoslide, cutbank erosion helped initiate failure",,
O17,Washington Street and Abernathy Creek Road close to in,Clackamas,Oregon City,Oregon Ci,7663072,625854,-122.59744,45.36416,Earthflow,Qal,67,Newberg Fine Sandy Loam,Natural,unfixed,30,35,6,233,35,2/96,closed road,,cutbank erosion helped initiate failure,,
O19,"Above Clackamas DOT, McLoughlin Avenue and Jockey Stre",Clackamas,Oregon City,Oregon Ci,7664149,624987,-122.59317,45.36185,Slump-Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,fixed,200,60,,8889,30,2/96,"some new drainage pipes, road closed",,reactivation of paleoslide,,
O20,Above Clackamas DOT and Abernathy Creek,Clackamas,Oregon City,Oregon Ci,7665105,624913,-122.58944,45.36172,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Fill,unfixed,180,40,,4000,30,2/96,,,fill failure on old logging road,,
O15,"14156 Redland Road, above Abernathy Creek",Clackamas,Oregon City,Oregon Ci,7668489,623959,-122.57618,45.35934,Earthflow,Troutdale,16,Chehalis Silt Loam,Natural,unfixed,50,20,5,185,40,2/96,,,cutbank erosion helped initiate failure,,
O16,Highway 213 and Redland Road,Clackamas,Oregon City,Oregon Ci,7667200,621955,-122.58100,45.35376,Slump-Earthflow,Qff/Qfc,92F,Xerochrepts and Haploxerolls,Natural,fixed,150,45,,3750,30,2/96,"scooper, small retaining wall",,natural slide,,
O14,Holly Lane,Clackamas,Oregon City,Clackamas,7669047,618348,-122.57345,45.34400,Earthflow,Troutdale,8B,Bornstedt Silt Loam,Natural,fixed,500,500,5,,25,2/96,"move 1 house, retaining wall with soil nails at another house, 3 to","1,000,00",large natural slide,,
O51,Singer Hill Road in Oregon City,Clackamas,Oregon City,Oregon Ci,7660991,623737,-122.60532,45.35820,Rockfall,CRBG,78B,Saum Silt Loam,Human/Cutslope,fixed,25,20,3,56,90,11/97,scooper,,recurring rockfall,,
O31,Newell Creek at Highway 213,Clackamas,Oregon City,Clackamas,7667551,620355,-122.57947,45.34940,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,125,100,8,3704,55,2/96,,,stream bank erosion helped initiate failure,,
O42,"End of Morton Road below B.B. Leasing to east, Oregon",Clackamas,Oregon City,Oregon Ci,7667283,621130,-122.58059,45.35150,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Water Co,unfixed,200,150,,,25,2/96,,,parking lot runoff saturated slope causing failure,,
O38,"End of Morton Road below B.B. Leasing to west, Oregon",Clackamas,Oregon City,Clackamas,7667077,621350,-122.58141,45.35209,Earthflow,Troutdale,91B,Woodburn Silt Loam,Human/Water Co,fixed,20,70,5,259,25,2/96,rockfill,,parking lot runoff saturated slope causing failure,,
O36,"Morton Road, Oregon City",Clackamas,Oregon City,Oregon Ci,7666302,621521,-122.58444,45.35250,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Water Co,fixed,70,30,6,467,40,2/96,small retainging wall,"10,000","reactivation of paleoslide, lost deck",,
O37,"Timber Ridge Apartments on Morton Road, Oregon City",Clackamas,Oregon City,Oregon Ci,7665945,621549,-122.58584,45.35256,Slump-Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Water Co,fixed,75,30,,1000,40,2/96,retaining wall,"100,000",runoff from apartments saturated slope causing failure,,
O32,"Dewey Street and Warner Street, Oregon City",Clackamas,Oregon City,Oregon Ci,7663675,619964,-122.59450,45.34805,Slump-Earthflow,Troutdale,91C,Woodburn Silt Loam,Human/Water Co,unfixed,200,400,3,8889,35,2/96,Red Tagged House,,"reactivation of paleoslide, red tagged home",,
O45,"Corner of Eluvia Street and Dewey Street, Newell Creek",Clackamas,Oregon City,Oregon Ci,7664092,620199,-122.59291,45.34872,Slump-Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Water Co,fixed,150,150,,,30,2/96,fix home,"32,000","reactivation of older slide, went again in 1997",,
O33,"Roosevelt Street and Eluvia Street, Oregon City",Clackamas,Oregon City,Oregon Ci,7664158,620485,-122.59268,45.34951,Earthflow,Troutdale,91C,Woodburn Silt Loam,Human/Fill,fixed,35,20,9,233,30,2/96,new road and culvert,,undersized culvert cited as cause,,
O34,"Roosevelt Street and Eluvia Street, Oregon City",Clackamas,Oregon City,Oregon Ci,7664158,620603,-122.59269,45.34983,Earthflow,Troutdale,91C,Woodburn Silt Loam,Human/Water Co,unfixed,80,25,4,296,15,2/96,,,"lack of sewer saturated slope causing  failure, lost entire backyard",,
O35,"End of Logan Street, Oregon City",Clackamas,Oregon City,Clackamas,7664640,620850,-122.59084,45.35055,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Fill,unfixed,15,50,4,111,25,2/96,,,"stream bank erosion helped initiate failure, fill failure, lost 15' of pr",,
O40,"North of Chicharee Drive, Newell Creek Canyon, Oregon",Clackamas,Oregon City,Oregon Ci,7665487,619495,-122.58741,45.34689,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,120,30,6,800,35,2/96,,,stream bank erosion helped initiate failure,,
O39,"North of Chicharee Drive, Newell Creek Canyon, Oregon",Clackamas,Oregon City,Oregon Ci,7665630,619508,-122.58686,45.34694,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,120,60,,2667,25,2/96,,,stream bank erosion helped initiate failure,,
O41,"North of Chicharee Drive, Newell Creek Canyon, Oregon",Clackamas,Oregon City,Clackamas,7665682,620003,-122.58670,45.34830,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,35,15,4,78,30,2/96,,,stream bank erosion helped initiate failure,,
O44,"South of Morton Road, Newell Creek Canyon, Oregon City",Clackamas,Oregon City,Clackamas,7666581,620968,-122.58330,45.35101,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,60,60,9,1200,45,2/96,,,stream bank erosion helped initiate failure,,
O30,"Highway 213 around milepost 2.2 southbound, Newell Cre",Clackamas,Oregon City,Clackamas,7667937,617918,-122.57773,45.34274,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Human/Cutslope,fixed,200,35,1,259,30,2/96,scooper,,oversteepened cutslope,,
O29,"Highway 213 around milepost 2.2, Newell Creek Canyon,",Clackamas,Oregon City,Clackamas,7667911,617475,-122.57778,45.34152,Earthflow,Fill,92F,Xerochrepts and Haploxerolls,Human/Fill,fixed,100,300,,,40,2/96,,"400,000",fill failure,,
O28,"Highway 213 at powerline crossing northbound, Newell C",Clackamas,Oregon City,Clackamas,7668732,616797,-122.57452,45.33972,Earthflow,Troutdale,91C,Woodburn Silt Loam,Human/Water Co,unfixed,30,150,3,500,20,2/96,,,fill failure,,
O26,"End of Newell Crest Drive, Oregon City",Clackamas,Oregon City,Oregon Ci,7666673,617788,-122.58263,45.34229,Earthflow,Troutdale,37D,Helvetia Silt Loam,Human/Fill,fixed,30,20,3,67,15,2/96,"pump line fixed, it had come undone",,fill failure,,
O23,"Mt. View Cemetary, Oregon City",Clackamas,Oregon City,Oregon Ci,7665656,617645,-122.58657,45.34183,Earthflow,Troutdale,37D,Helvetia Silt Loam,Natural,unfixed,50,150,8,2222,40,2/96,,,stream bank erosion helped initiate failure,,
O22,"Mt. View Cemetary, Oregon City",Clackamas,Oregon City,Oregon Ci,7665643,616863,-122.58654,45.33969,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,70,120,3,933,40,2/96,,,stream bank erosion helped initiate failure,,
O27,"Mt. View Cemetary, Oregon City",Clackamas,Oregon City,Oregon Ci,7664861,616797,-122.58957,45.33945,Earthflow,Fill,92F,Xerochrepts and Haploxerolls,Human/Water Co,unfixed,30,15,,417,65,2/96,,,inadequate drainage of fill helped initiate failure,,
O25,"East of Hilltop Avenue, Oregon City",Clackamas,Oregon City,Oregon Ci,7666620,615807,-122.58264,45.33686,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,100,300,,,35,2/96,,,stream bank erosion helped initiate failure,,
O24,"Upper Newell Creek, Oregon City",Clackamas,Oregon City,Clackamas,7668367,615064,-122.57577,45.33495,Earthflow,Troutdale,92F,Xerochrepts and Haploxerolls,Natural,unfixed,100,50,,3704,50,2/96,,,stream bank erosion helped initiate failure,,
